sale_date,product_id,product_name,total_quantity_sold
2025-04-22,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),1
2025-04-23,942427,[한울푸드] 매콤한 채소로 만든 고구마샌드스틱 20g (1개입),1
2025-04-28,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),1
2025-04-30,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),2
2025-05-04,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),1
2025-05-05,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),1
2025-05-07,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),1
2025-05-13,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),1
2025-05-15,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),3
2025-05-18,942428,[한울푸드] 16곡물 곤약쫀드기 (20g x 10개입),2
2025-05-19,942427,[한울푸드] 매콤한 채소로 만든 고구마샌드스틱 20g (1개입),2
